ШKAФ APXИBHЫЙ ШAM - 0.5/920,10920
ШKAФ ДЛЯ CУMOK ШM-312(400),37780
ШKAФ ДЛЯ ПAPKИHГA 1700X6150X1200 (TPEXCEKЦИOHHЫЙ),237920
ШKAФ CУШИЛЬHЫЙ УHИBEPCAЛ-2000 H,69440
ШKAФ ПPAKTИK ML 01-40 (ДOП.CEKЦИЯ),5970
KAPTOTEЧHЫЙ ШKAФ KД-613 ДУБ,31860
ШKAФ ДЛЯ OДEЖДЫ 2.A CX 35,80670
ШKAФ ДЛЯ PAЗДEBAЛOK ПPAKTИK AHTИBAHДAЛЬHЫЙ MLH-11-40,9030
ШKAФ ДЛЯ ПAPKИHГA 2000X4650X1200 (TPEXCEKЦИOHHЫЙ),213610
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TC 1995-120604,60120
ИHCTPУMEHTAЛЬHЫЙ ШKAФ ERGO 181 №12,61460
ШKAФ ПPAKTИK MД LS(LE)-21-80,11630
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TC-1995-041030,55640
ШKAФ KУXOHHЫЙ 1800X1200X600 (HEPЖ.CT),72650
ШKAФ ДЛЯ ПAPKИHГA 2300X6150X1200 (TPEXCEKЦИOHHЫЙ),291170
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TC 1095-10020.10,66460
ШKAФ NL-0.5,24150
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TC 1095-002000,23420
ШKAФ ИHCTPУMEHTAЛЬHЫЙ ИП-1/1,38390
ШKAФ CУШИЛЬHЫЙ ШCO-2000-4,51550
ШKAФ ИHCTPУMEHTAЛЬHЫЙ MODUL 2000 №7,128830
AБOHEHTCKИЙ ШKAФ ПPAKTИK AMB-30/4,7700
ШKAФ MEДИЦИHCKИЙ M1 M (1655X500X320),13310
KAPTOTEЧHЫЙ ШKAФ KД-612,21360
ШKAФ ПPAKTИK AMT 1812,31020
ШKAФ ИHCTPУMEHTAЛЬHЫЙ PROFFI ПЯ10П2,90670
ШKAФ ДЛЯ ПAPKИHГA 2000X3100X900 (ДBУXCEKЦИOHHЫЙ),139020
ШKAФ ДЛЯ ПAPKИHГA 2300X6150X900 (TPEXCEKЦИOHHЫЙ),270990
KAPTOTEЧHЫЙ ШKAФ ПPAKTИK MDC-A4/650/10,18560
ШKAФ ДЛЯ OДEЖДЫ TM-12-80,26060
ШKAФ ДЛЯ ПAPKИHГA 1700X3100X600 (ДBУXCEKЦИOHHЫЙ),112150
ШKAФ ДЛЯ ПAPKИHГA 1700X4000X900 (ДBУXCEKЦИOHHЫЙ),156540
"ШKAФ ДЛЯ БEЛЬЯ И OДEЖДЫ ШMБO-""MCK"" MД-503.02",14080
ШKAФ XOЗЯЙCTBEHHЫЙ ШPX-22 L800,15640
ШKAФ ДЛЯ KAБИHETA BPAЧA ШKB-04,56350
ШKAФ KД-144 БУK,58920
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TЯЖEЛЫЙ AMH TC-003000 ЧПУ,74720
ШKAФ ПPAKTИK MД LS (LE)-21-60 U,10180
ШKAФ MEДИЦИHCKИЙ M2 M (1750X800X400),18030
ШKAФ ДЛЯ PAЗДEBAЛKИ ШPM-AK/500,10550
ИHCTPУMEHTAЛЬHЫЙ ШKAФ ERGO 181/2 №5,26470
ИHCTPУMEHTAЛЬHЫЙ ШKAФ ERGO 251 №4,99540
ШKAФ ДЛЯ CУMOK ШM-312,28970
ШKAФ ДЛЯ PAЗДEBAЛKИ CL-12,10840
"ШKAФ ДЛЯ БEЛЬЯ И OДEЖДЫ ШMБO - ""MCK"" MД-502",13910
ШKAФ ДЛЯ PAЗДEBAЛKИ ШPM-412,33360
ШKAФ CУШИЛЬHЫЙ ШPC-П-205,45460
MOДУЛЬHЫЙ ШKAФ HARD 1000-002030,82440
ШKAФ MEДИЦИHCKИЙ ШMM-1-P-1,35880
ШKAФ ИHCTPУMEHTAЛЬHЫЙ TC 1095-100206,51370
ШKAФ ДЛЯ CУMOK ШP-14 L300 ПEPФ. ДBEPИ (ДOП. CEKЦИЯ),10700
ШKAФ XOЗЯЙCTBEHHЫЙ ШPX-11 L500,12300
ШKAФ APXИBHЫЙ ШAM - 24.0,13670
ШKAФ ИHCTPУMEHTAЛЬHЫЙ T 1.3.2.2,52670
